"x","value"
412,-14.7939813278687
413,-14.5136931745458
414,-14.2285267749799
415,-13.9385451694545
416,-13.6438220553032
417,-13.3444371531376
418,-13.0404747395386
419,-12.7320240544679
420,-12.4191811342314
421,-12.1020447286367
422,-11.7807239779024
423,-11.4553285966836
424,-11.1259742483667
425,-10.792774270759
426,-10.4558509758793
427,-10.1153349877152
428,-9.77135811490834
429,-9.42405020804662
430,-9.07354208488302
431,-8.71996249647953
432,-8.36344385464609
433,-8.00411331197115
434,-7.64209680981053
435,-7.27751820605917
436,-6.91050085995893
437,-6.54116592229553
438,-6.16963180443133
439,-5.79601196625293
440,-5.42042146076753
441,-5.04297618491525
442,-4.66378748215517
443,-4.28296544057626
444,-3.90061829069273
445,-3.51685718397118
446,-3.13179502017116
447,-2.74554469667743
448,-2.35821839522203
449,-1.96992836610229
450,-1.58078368239976
451,-1.19088975998201
452,-0.800343209652229
453,-0.409233944985679
454,-0.0176489049927239
455,0.374321937868446
456,0.766585695255363
457,1.15904975043708
458,1.55162334525481
459,1.94421596199131
460,2.33674114053757
461,2.72911060801473
462,3.12123731565816
463,3.51303533589347
464,3.90441428551003
465,4.29527850047076
466,4.68553147341675
467,5.07507609547819
468,5.46381224740464
469,5.85164327156457
470,6.23846992066898
471,6.62419827119472
472,7.00872954905321
473,7.39196904783132
474,7.7738241347982
475,8.15420042931768
476,8.5330001487433
477,8.91012495221809
478,9.28547331446137
479,9.65894279099309
480,10.0304223466783
481,10.3997980543375
482,10.7669502335537
483,11.1317602751969
484,11.4941068717981
485,11.8538671893738
486,12.2109143138734
487,12.5651251098734
488,12.9163826065689
489,13.2645737023237
490,13.6095904827107
491,13.9513306534822
492,14.2896979490678
493,14.6246008307364
494,14.9559531141078
495,15.2836717126058
496,15.6076739343591
497,15.9278766663195
498,16.2441989378895
499,16.5565593012658
500,16.8648782138303
501,17.1690816722087
502,17.4691036578978
503,17.7648847702635
504,18.0563685197261
505,18.3435010853424
506,18.6262335072064
507,18.9045211432663
508,19.178327285648
509,19.4476199331425
510,19.712371375079
511,19.972563518099
512,20.2281878167038
513,20.4792397778237
514,20.7257211197092
515,20.9676400232589
516,21.2050071090042
517,21.4378359151516
518,21.666139654707
519,21.8899374423512
520,22.1092496646512
521,22.3241004712489
522,22.5345176307483
523,22.7405324371324
524,22.9421777192164
525,23.1394897735292
526,23.332509768348
527,23.5212885771512
528,23.7058813538883
529,23.8863510445105
530,24.0627632155362
531,24.2351872902025
532,24.403695335881
533,24.5683640584993
534,24.7292672416323
535,24.8864699969775
536,25.0400306477276
537,25.1900011603789
538,25.3364271843072
539,25.4793520876258
540,25.6188182793494
541,25.7548641666029
542,25.8875274796909
543,26.016848081874
544,26.1428660901565
545,26.2656178868654
546,26.3851374517504
547,26.5014553019147
548,26.6145965978017
549,26.7245831626266
550,26.831434749887
551,26.9351710141392
552,27.0358112436569
553,27.1333725258375
554,27.2278705912289
555,27.3193205870796
556,27.4077393959856
557,27.4931455251945
558,27.5755557265286
559,27.6549846249333
560,27.7314483706023
561,27.8049634599752
562,27.8755460851355
563,27.9432134612084
564,28.0079853867921
565,28.0698838963645
566,28.1289325601223
567,28.1851565305766
568,28.2385817128944
569,28.2892345405311
570,28.3371432311369
571,28.3823395363496
572,28.4248585666719
573,28.4647350381713
574,28.5020006917616
575,28.5366883794007
576,28.568830341526
577,28.5984593339338
578,28.6256105030288
579,28.6503212803558
580,28.6726287704243
581,28.6925741647298
582,28.7102051914771
583,28.7255720769381
584,28.7387277711957
585,28.7497291771487
586,28.7586318080728
587,28.765489552943
588,28.7703571918798
589,28.773288294961
590,28.7743357602739
591,28.7735532217544
592,28.7709989446249
593,28.7667349633662
594,28.760826073455
595,28.7533407923
596,28.7443485506868
597,28.7339197408919
598,28.7221249994686
599,28.7090348659527
600,28.6947223341542
601,28.6792607790252
602,28.6627206156257
603,28.6451683244685
604,28.6266665118036
605,28.6072763004565
606,28.5870569815559
607,28.5660644317379
608,28.5443504522964
609,28.5219651223281
610,28.4989560676502
611,28.4753680189794
612,28.4512439710125
613,28.4266227219256
614,28.4015411440783
615,28.3760331417297
616,28.3501312139098
617,28.3238652022436
618,28.2972600914933
619,28.2703349650509
620,28.243107022483
621,28.2155935008039
622,28.1878092066442
623,28.1597665473652
624,28.1314758149725
625,28.1029430431138
626,28.0741705870559
627,28.0451609958099
628,28.0159171588786
629,27.9864474931416
630,27.9567739253286
631,27.9269299555659
632,27.8969579111058
633,27.8669126928411
634,27.836860750059
635,27.8068785742925
636,27.7770495115099
637,27.7474570125468
638,27.7181851365103
639,27.6893145069079
640,27.6609222564214
641,27.6330825207815
642,27.6058660777419
643,27.5793415012553
644,27.5535744676881
645,27.528628511769
646,27.504565059625
647,27.4814403963511
648,27.4593072896918
649,27.4382184779509
650,27.4182265194063
651,27.3993846585221
652,27.3817442733887
653,27.3653574374324
654,27.3502773799683
655,27.3365586546661
656,27.3242544931024
657,27.3134176596956
658,27.3040998286228
659,27.2963500419805
660,27.2902179864696
661,27.2857518010641
662,27.282999375421
663,27.2820062012677
664,27.2828162901866
665,27.2854745414266
666,27.2900276408263
667,27.2965221936905
668,27.3050025564786
669,27.3155123277371
670,27.3280943549139
671,27.3427909424628
672,27.3596438916933
673,27.3786952869614
674,27.3999835363187
675,27.423541185254
676,27.4493862702744
677,27.4775129454398
678,27.5078936191088
679,27.5404806165448
680,27.5752044581542
681,27.611974364321
682,27.6506795630811
683,27.6911968321702
684,27.7334005870199
685,27.7771609761455
686,27.8223481314881
687,27.868833704629
688,27.9164911416875
689,27.9651955492538
690,28.0148233989389
691,28.0652524906042
692,28.1163592631242
693,28.1680204224628
694,28.2201152639651
695,28.2725266178295
696,28.3251380411084
697,28.3778355324324
698,28.4305063009146
699,28.4830405968077
700,28.5353282569833
701,28.5872586143456
702,28.6387216639325
703,28.6896096794972
704,28.7398169863389
705,28.7892402008617
706,28.8377800052864
707,28.8853383216967
708,28.9318199125109
709,28.9771326286737
710,29.0211891913855
711,29.0639063312703
712,29.1052024949135
713,29.1449982214874
714,29.1832151117756
715,29.2197807867222
716,29.254624883825
717,29.2876805265122
718,29.3188838378417
719,29.3481756807587
720,29.3754989316562
721,29.4008004201411
722,29.4240321895228
723,29.4451568106407
724,29.4641521525726
725,29.4810101875663
726,29.4957368420228
727,29.508352287363
728,29.5188910938824
729,29.5274014331336
730,29.5339395733919
731,29.5385635404771
732,29.5413364423897
733,29.5423232011309
734,29.5415883249641
735,29.5391968553103
736,29.5352138676178
737,29.5297050884279
738,29.5227389773533
739,29.5143947329364
740,29.5047588225439
741,29.4939229131269
742,29.4819792910377
743,29.4690238831929
744,29.4551518202695
745,29.4404571443061
746,29.4250321473971
747,29.4089695358688
748,29.3923623833006
749,29.3753027128871
750,29.3578807346562
751,29.3401841121481
752,29.3222979044834
753,29.3043022840645
754,29.2862744682524
755,29.2682874599059
756,29.2504068180524
757,29.2326895914342
758,29.2151847746449
759,29.1979358084721
760,29.1809798569448
761,29.1643481282835
762,29.1480591631142
763,29.1321252880575
764,29.1165501045511
765,29.1013295034252
766,29.086451147691
767,29.0718988295125
768,29.057652700963
769,29.0436894342968
770,29.0299819432487
771,29.0164999759851
772,29.0032105423182
773,28.9900781549068
774,28.9770648036406
775,28.9641301323493
776,28.9512318525802
777,28.9383274194298
778,28.9253745823428
779,28.9123263564535
780,28.8991304599931
781,28.8857326087811
782,28.872076439337
783,28.8581031905014
784,28.8437491238428
785,28.8289412788859
786,28.8135862239552
787,28.7975731996449
788,28.7807760054444
789,28.7630585304963
790,28.744271206471
791,28.7242565868786
792,28.7028489431969
793,28.6798732516514
794,28.6551445706556
795,28.6284686656032
796,28.5996428930029
797,28.5684572480803
798,28.5346962956039
799,28.4981403717862
800,28.4585694009095
801,28.4157625748966
802,28.3694984023994
803,28.3195629241333
804,28.2657508317392
805,28.2078646819738
806,28.1457132225086
807,28.0791109906458
808,28.0078829582627
809,27.9318615280113
810,27.8508832199201
811,27.7647903760221
812,27.67342895623
813,27.5766451344105
814,27.4742802444051
815,27.366169881238
816,27.25214325937
817,27.1320211942037
818,27.0056143143306
819,26.8727231686569
820,26.7331373652866
821,26.5866359086875
822,26.4329867054432
823,26.2719459162273
824,26.1032572275089
825,25.9266538211244
826,25.7418642901446
827,25.5486190295601
828,25.3466444927549
829,25.1356591680455
830,24.9153770590778
831,24.6855131479317
832,24.4457864588759
833,24.1959349565503
834,23.9357147851284
835,23.6648994867947
836,23.3832771500313
837,23.0906529688664
838,22.7868459510839
839,22.4716921630187
840,22.1450469160235
841,21.8067848269754
842,21.4567988961449
843,21.0950001046033
844,20.7213161974682
845,20.3356893515005
846,19.9380745700738
847,19.5284357697735
848,19.106744922366
849,18.6729832286746
850,18.2271315193768
851,17.7691692879885
852,17.2990764744425
853,16.8168332756201
854,16.3224209075074
855,15.8152859879448
856,15.2956122886969
857,14.7635846335801
858,14.2193884630089
859,13.6632112392256
860,13.0952452355094
861,12.5156900375946
862,11.9247529626267
863,11.3226493755998
864,10.709603855176
865,10.0858508684687
866,9.45163459500143
867,8.80720945768429
868,8.15283990294468
869,7.4888006663436
870,6.81537717543221
871,6.1328660045774
872,5.44157375547948
873,4.74181410145983
874,4.03390318528568
875,3.31816313797046
876,2.59492520543353
877,1.86452713692932
878,1.1122979814672
879,0.360068826005078
880,-0.392160329457042
881,-1.14438948491916
882,-1.89661864038128
883,-2.6488477958434
884,-3.40107695130552
885,-4.15330610676765
886,-4.90553526222977
887,-5.65776441769189
888,-6.40999357315401
889,-7.16222272861613
890,-7.91445188407825
